Room,Tag Number,Description,Manufacturer,Model,Serial Number,VCI N/A,Asset N/A
Offsite,V1807C11336,Chromebook,Acer,C738T,NXG55AA01072000F467600,V1807C11336,Asset N/A
Offsite,V1807C11257,Chromebook,Acer,C738T,NXG55AA010720012D27600,V1807C11257,Asset N/A
Offsite,V1807C1386,Chromebook,Acer,C738T,NXG55AA010720031107600,V1807C1386,Asset N/A
Offsite,V1807C12535,Chromebook,Acer,C738T,NXG55AA010720034AF7600,V1807C12535,Asset N/A
Offsite,V1807C11358,Chromebook,Acer,C738T,NXG55AA010720070D37600,V1807C11358,Asset N/A
Offsite,V1807C12130,Chromebook,Acer,C738T,NXG55AA010720070DA7600,V1807C12130,Asset N/A
Offsite,V1807C5152,Chromebook,Acer,C738T,NXG55AA010720070E87600,V1807C5152,Asset N/A
Offsite,V1807C11378,Chromebook,Acer,C738T,NXG55AA010720072727600,V1807C11378,Asset N/A
Offsite,V1807C11255,Chromebook,Acer,C738T,NXG55AA010720073537600,V1807C11255,Asset N/A
Offsite,V1807C12288,Chromebook,Acer,C738T,NXG55AA0107200739E7600,V1807C12288,Asset N/A
Offsite,V1807C12276,Chromebook,Acer,C738T,NXG55AA010720073A37600,V1807C12276,Asset N/A
Offsite,V1807C12277,Chromebook,Acer,C738T,NXG55AA010720073B97600,V1807C12277,Asset N/A
Offsite,V1807C11303,Chromebook,Acer,C738T,NXG55AA010720073FF7600,V1807C11303,Asset N/A
Offsite,V1807C11359,Chromebook,Acer,C738T,NXG55AA010720074077600,V1807C11359,Asset N/A
Offsite,V1807C11366,Chromebook,Acer,C738T,NXG55AA010720074257600,V1807C11366,Asset N/A
Offsite,V1807C11384,Chromebook,Acer,C738T,NXG55AA010720074507600,V1807C11384,Asset N/A
Offsite,V1807C11258,Chromebook,Acer,C738T,NXG55AA0107200745E7600,V1807C11258,Asset N/A
Offsite,V1807C11308,Chromebook,Acer,C738T,NXG55AA0107200746B7600,V1807C11308,Asset N/A
Offsite,V1807C11377,Chromebook,Acer,C738T,NXG55AA010720074777600,V1807C11377,Asset N/A
Offsite,V1807C11340,Chromebook,Acer,C738T,NXG55AA010720074887600,V1807C11340,Asset N/A
Offsite,V1807C11355,Chromebook,Acer,C738T,NXG55AA0107200748B7600,V1807C11355,Asset N/A
Offsite,V1807C11285,Chromebook,Acer,C738T,NXG55AA010720074907600,V1807C11285,Asset N/A
Offsite,V1807C11390,Chromebook,Acer,C738T,NXG55AA010720074917600,V1807C11390,Asset N/A
Offsite,V1807C11259,Chromebook,Acer,C738T,NXG55AA010720074997600,V1807C11259,Asset N/A
Offsite,V1807C12731,Chromebook,Acer,C738T,NXG55AA0107200749B7600,V1807C12731,Asset N/A
Offsite,V1807C11385,Chromebook,Acer,C738T,NXG55AA010720074A27600,V1807C11385,Asset N/A
Offsite,V1807C11375,Chromebook,Acer,C738T,NXG55AA010720074A37600,V1807C11375,Asset N/A
Offsite,V1807C11343,Chromebook,Acer,C738T,NXG55AA010720074A47600,V1807C11343,Asset N/A
Offsite,V1807C11337,Chromebook,Acer,C738T,NXG55AA010720074A57600,V1807C11337,Asset N/A
Offsite,V1807C11268,Chromebook,Acer,C738T,NXG55AA010720074A67600,V1807C11268,Asset N/A
